onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"11-1011.00",2017,.0083848387,.99997461,.13026692,.0029077213,.11217389,.011134621,.75246763,1,.0080294712,.99997461,.12369106,.002511732,.8491286,.22673365,.98559207,1,.99609905,.99647391
"11-1011.03",2017,.0083848387,.94818902,.99968255,.0280749,9.5175628e-06,.0018208338,.049627218,1,.0080294712,.94818902,.99975318,.026013752,1.4404375e-12,.0079578273,.018056575,1,.99609905,.99647391
"11-1021.00",2017,.56870657,.34488082,.62714523,.28500402,.12061211,.1292088,.080728903,.050000001,.56932706,.34488082,.63093698,.28499377,.87851644,.9795956,.050000001,.64053702,.93743932,.94247311
"11-2011.00",2017,.016745282,.9995814,.14374733,.021295395,.061157729,.016675977,.75246763,.77891713,.016142728,.9995814,.1370189,.01955908,.42668051,.39720374,.98559207,.99770552,.8911972,.89768302
"11-2021.00",2017,.032796998,.99995041,.13026692,.0015171175,.052358352,.018786974,.75246763,8.8856877e-06,.031829011,.99995041,.12369106,.0012850481,.31038368,.45581299,.98559207,.000020776286,.97416705,.97663325
"11-2022.00",2017,.029072899,.14612982,.99921471,.57030267,8.6952487e-06,.0036886197,.27349576,2.2410632e-11,.028180443,.14612982,.99937183,.5790633,1.0930545e-12,.03148986,.50099999,9.9273953e-13,.97416705,.97663325
"11-2031.00",2017,.032093812,.9998489,.10704726,.005119097,.051087279,.044594806,.75246763,8.8856877e-06,.031139726,.9998489,.10087388,.0044985334,.2937012,.82986617,.98559207,.000020776286,.93883389,.94389868
"11-3011.00",2017,.57694364,.43741846,.65206921,.19991623,.10343066,.04223324,.080728903,.050000001,.57763624,.43741846,.65650928,.19768843,.81000197,.81339449,.050000001,.64053702,.85593098,.86568409
"11-3021.00",2017,.055578478,.98052144,.0548345,.3347989,.10641061,.013554056,.75246763,.00033405068,.054233741,.98052144,.0504019,.33633932,.82447088,.30296129,.98559207,.0023795303,.97764665,.97977716
"11-3031.01",2017,.0083848387,.99920565,.99968255,.00047181986,8.6952487e-06,.000015348165,.049627218,1,.0080294712,.99920565,.99975318,.00038588964,1.0930545e-12,6.3328139e-07,.018056575,1,.96470356,.96752858
"11-3031.02",2017,.01758128,.99993366,.10395391,.004176917,.072248474,.010441135,.76964915,.77891713,.016956721,.99993366,.097848885,.0036479174,.5621407,.20499238,.98806953,.99770552,.96470356,.96752858
"11-3051.00",2017,.31736174,.7496419,.013075978,.70779002,.14514758,.027793562,.75246763,.020662848,.31584567,.7496419,.011442248,.71879035,.93279231,.64916486,.98559207,.35031393,.9550758,.95945513
"11-3051.01",2017,.49165654,.71403831,.019342497,.541619,.10419722,.019613672,.75246763,.032729276,.49158022,.71403831,.017147563,.54964519,.81384438,.47741541,.98559207,.50099999,.9550758,.95945513
"11-3051.02",2017,.046526045,.91236949,.76697582,.2542676,.086842634,.022084098,.080728903,.0004175565,.045315612,.91236949,.77356315,.25337529,.70269793,.5372172,.050000001,.0031835167,.9550758,.95945513
"11-3051.03",2017,.6105212,.7960273,.042321231,.24234781,.061806068,.039101899,.62556189,.050000001,.61149859,.7960273,.038542137,.24113484,.43509525,.78808987,.95322692,.64053702,.9550758,.95945513
"11-3051.04",2017,.46735534,.69029033,.042321231,.48743054,.1027825,.021043967,.62556189,.032729276,.46705756,.69029033,.038542137,.493902,.80668575,.51291096,.95322692,.50099999,.9550758,.95945513
"11-3051.06",2017,.1246692,.57287443,.65206921,.55080998,.083659664,.021796938,.080728903,.0069074943,.12273648,.57287443,.65650928,.55907905,.67601365,.53063309,.050000001,.11216944,.9550758,.95945513
"11-3061.00",2017,.0083848387,.99980599,.99968255,.0001197736,.000012029929,1.3641933e-09,.049627218,1,.0080294712,.99980599,.99975318,.000094026465,2.9458231e-12,6.1891147e-15,.018056575,1,.95941049,.96301991
"11-3071.01",2017,.015382799,.99870348,.083962291,.088502862,.070941657,.028988848,.91828519,.77891713,.01481701,.99870348,.078394242,.085157759,.54731035,.6684218,.998963,.99770552,.89427787,.90248221
"11-3071.02",2017,.97325802,8.4496123e-06,.99997878,.79935777,8.8614379e-06,.013427885,.00386674,.03018051,.97410065,8.4496123e-06,.9999848,.81014127,1.1581179e-12,.29901764,.000095723444,.47266227,.89427787,.90248221
"11-3071.03",2017,.099243119,.58495671,.99944443,.040294975,.000012029929,.00073367794,.27349576,3.2543719e-06,.097453818,.58495671,.99956036,.037774738,2.9458231e-12,.0013250387,.50099999,5.5863411e-06,.89427787,.90248221
"11-3111.00",2017,.11970434,.92670161,.9875859,.020200923,6.3178845e-06,.000246282,.034151919,3.2543719e-06,.11779421,.92670161,.98915553,.018522901,4.1210988e-13,.00015310416,.0082872733,5.5863411e-06,.96578127,.96851307
"11-3121.00",2017,.0083848387,.9986186,.9998641,.00052035024,9.6902077e-06,.000015348165,.049627218,1,.0080294712,.9986186,.99989712,.00042683043,1.5217330e-12,6.3328139e-07,.018056575,1,.9480139,.95248288
"11-3131.00",2017,.032093812,.94590831,.99853158,.018221334,8.6952487e-06,.000246282,.049627218,2.2410632e-11,.031139726,.94590831,.99880201,.016653484,1.0930545e-12,.00015310416,.018056575,9.9273953e-13,.94007432,.94478941
"11-9013.01",2017,.39452329,.2801578,.50099999,.57588804,.073084377,.027793562,.080728903,.032729276,.39358762,.2801578,.50099999,.58478314,.57144254,.64916486,.050000001,.50099999,.74434179,.75669831
"11-9013.02",2017,.40807837,.22268912,.55080992,.60944217,.09114413,.027793562,.080728903,.032729276,.40725678,.22268912,.55238622,.61907917,.7354095,.64916486,.050000001,.50099999,.74434179,.75669831
"11-9013.03",2017,.96427691,.000010875788,.99994534,.87083155,.000016725404,.0036601517,.00386674,.03018051,.96530104,.000010875788,.99995977,.88002545,8.0590899e-12,.031024305,.000095723444,.47266227,.74434179,.75669831
"11-9021.00",2017,.51703954,.044971567,.99976522,.079634324,.000012029929,.0020731159,.19153316,.0015916219,.51719528,.044971567,.99981916,.076353312,2.9458231e-12,.010266464,.28153422,.018070424,.8790009,.88803488
"11-9031.00",2017,.58005011,.98523211,.045634884,.021398647,.038907565,.029492088,.75246763,.032729276,.58076972,.98523211,.04167103,.019656923,.14827672,.6761446,.98559207,.50099999,.72823697,.73776305
"11-9032.00",2017,.67095387,.97854185,.026935883,.028345359,.057168152,.04223324,.75246763,.050000001,.67239136,.97854185,.024148611,.026272422,.37416708,.81339449,.98559207,.64053702,.72823697,.73776305
"11-9033.00",2017,.016745282,.99989164,.14374733,.0058095939,.081758723,.061615802,.75246763,.77891713,.016142728,.99989164,.1370189,.0051250751,.65903294,.90546244,.98559207,.99770552,.72823697,.73776305
"11-9039.01",2017,.0083848387,.97248155,.99929947,.022467529,6.5038989e-06,.000246282,.049627218,1,.0080294712,.97248155,.99944162,.020670723,4.5029841e-13,.00015310416,.018056575,1,.72823697,.73776305
"11-9039.02",2017,.97825199,.00022269944,.97533613,.84298384,.000016725404,.0088889645,.27349576,.03018051,.9789806,.00022269944,.97795469,.85297704,8.0590899e-12,.15753399,.50099999,.47266227,.72823697,.73776305
"11-9041.00",2017,.016209269,.99857014,.080017693,.094538249,.083167225,.025420867,.75246763,.77891713,.015621042,.99857014,.074576773,.091167167,.67169064,.60685658,.98559207,.99770552,.99251717,.99340868
"11-9041.01",2017,.5345313,.67267138,.029335337,.49334988,.086162478,.017438803,.75246763,.032729276,.53484619,.67267138,.026376858,.50099999,.69717705,.41893214,.98559207,.50099999,.99251717,.99340868
"11-9051.00",2017,.56870657,.60864747,.010457672,.6593622,.065144904,.027793562,.75246763,.050000001,.56932706,.60864747,.0090842228,.66986114,.47763392,.64916486,.98559207,.64053702,.31329179,.326345
"11-9061.00",2017,.46735534,.42095143,.74565923,.24234781,.069646783,.046782713,.080728903,.032729276,.46705756,.42095143,.75198108,.24113484,.53227913,.84342188,.050000001,.50099999,.80337191,.81498355
"11-9071.00",2017,.6105212,.87234157,.11199545,.097140089,.078787245,.051708154,.25484711,.050000001,.61149859,.87234157,.10572027,.093761943,.63089454,.86899203,.45161784,.64053702,.72967136,.74416369
"11-9081.00",2017,.57694364,.20716181,.65206921,.41913855,.090797,.018278774,.080728903,.050000001,.57763624,.20716181,.65650928,.42344379,.73290741,.44214651,.050000001,.64053702,.38140777,.39539933
