onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"11-1011.00",2018,.0083848387,.99997461,.13026692,.0029077213,.79437935,.52161509,.9790796,1,.0069286856,.99997562,.12514645,.0023319689,.79330158,.86478454,.95379764,1,.99365938,.99463832
"11-1011.03",2018,.0083848387,.94818902,.99968255,.0280749,2.2662610e-07,.0064636166,.69279987,1,.0069286856,.94901514,.99948531,.024427805,4.8756915e-15,.041579783,.50099999,1,.99365938,.99463832
"11-1021.00",2018,.56870657,.34488082,.62714523,.28500402,.7415089,.99461985,.10562037,.00074384094,.55323023,.346389,.59090459,.27428058,.67518318,.99895233,.050000001,.50099999,.93095267,.94156969
"11-2011.00",2018,.031106135,.99960518,.080017693,.015699646,.49140885,.06100696,.9790796,7.0387262e-13,.026680257,.99961734,.078407228,.013367377,.1809705,.2902717,.95379764,9.4326076e-16,.91951245,.92944634
"11-2021.00",2018,.032796998,.99995041,.13026692,.0015171175,.64111996,.99803239,.9790796,7.0387262e-13,.028175861,.9999522,.12514645,.0011896206,.4393467,.9996081,.95379764,9.4326076e-16,.97406232,.9787429
"11-2022.00",2018,.029072899,.14612982,.99921471,.57030267,1.5536490e-07,.000090090216,.42911908,4.7750000e-28,.024885504,.14655638,.99877679,.56732351,2.2403219e-15,.00066838117,.25034091,0,.97406232,.9787429
"11-2031.00",2018,.032093812,.9998489,.10704726,.005119097,.44097459,.99979657,.9790796,7.0387262e-13,.027553547,.99985397,.10363739,.0041873911,.12701602,.99995714,.95379764,9.4326076e-16,.93193239,.94238067
"11-3011.00",2018,.57694364,.43741846,.65206921,.19991623,.59195143,.91813642,.10562037,.00074384094,.56174731,.43933824,.61564648,.18907817,.33790314,.9841404,.050000001,.50099999,.86475861,.8827213
"11-3021.00",2018,.055578478,.98052144,.0548345,.3347989,.91902769,.00052672968,.9790796,1.9394543e-07,.048554793,.98089743,.054613035,.32479313,.97247624,.0037288391,.95379764,1.0776457e-06,.97881758,.98259515
"11-3031.01",2018,.0083848387,.99920565,.99968255,.00047181986,1.5536490e-07,.000011968024,.69279987,1,.0069286856,.99922854,.99948531,.00035541027,2.2403219e-15,.000093443443,.50099999,1,.96513247,.97060543
"11-3031.02",2018,.01758128,.99993366,.10395391,.004176917,.90634066,.023658844,.98233277,.99903715,.014829505,.99993604,.10076196,.0033924209,.96217906,.13521546,.96081376,1,.96513247,.97060543
"11-3051.00",2018,.31736174,.7496419,.013075978,.70779002,.68496257,.13982065,.9790796,.21994065,.29828483,.75183165,.013881985,.70952523,.5401212,.50099999,.95379764,.99994904,.95527095,.96326232
"11-3051.01",2018,.49165654,.71403831,.019342497,.541619,.64258492,.061373003,.9790796,.55043471,.4739826,.71631485,.020178029,.53761506,.44258258,.2915532,.95379764,.99999559,.95527095,.96326232
"11-3051.02",2018,.046526045,.91236949,.76697582,.2542676,.33544326,.22859253,.10562037,2.6042687e-07,.040410653,.9135859,.73292649,.24332164,.05482411,.64232284,.050000001,1.7603729e-06,.95527095,.96326232
"11-3051.03",2018,.6105212,.7960273,.042321231,.24234781,.58771104,.96087176,.91181749,.00074384094,.59654486,.79804444,.042633716,.23136726,.32987362,.99255002,.82056296,.50099999,.95527095,.96326232
"11-3051.04",2018,.46735534,.69029033,.042321231,.48743054,.49754781,.031411689,.91181749,.55043471,.4491646,.69260448,.042633716,.48155242,.18859001,.17200318,.82056296,.99999559,.95527095,.96326232
"11-3051.06",2018,.1246692,.57287443,.65206921,.55080998,.36712089,.080837153,.10562037,.0051805717,.11216599,.57516712,.61564648,.54713297,.071706958,.35460517,.050000001,.96227187,.95527095,.96326232
"11-3061.00",2018,.03515384,.99675417,.99968255,.00047181986,5.7306090e-07,.000011968024,.69279987,4.7750000e-28,.030264964,.9968344,.99948531,.00035541027,3.2955535e-14,.000093443443,.50099999,0,.96493417,.97093385
